Round 188 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 189 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 190 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 191 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 192 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 193 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 194 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 195 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 196 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 197 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 198 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 199 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 200 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 1 | Always Defect played DEFECT | Always Cooperate played COOPERATE
Round 2 | Always Defect played DEFECT | Always Cooperate played COOPERATE
Round 3 | Always Defect played DEFECT | Always Cooperate played COOPERATE
Round 4 | Always Defect played DEFECT | Always Cooperate played COOPERATE
Round 5 | Always Defect played DEFECT | Always Cooperate played COOPERATE
Round 6 | Always Defect played DEFECT | Always Cooperate played COOPERATE
Round 7 | Always Defect played DEFECT | Always Cooperate played COOPERATE
Round 8 | Always Defect played DEFECT | Always Cooperate played COOPERATE
Round 9 | Always Defect played DEFECT | Always Cooperate played COOPERATE
Round 10 | Always Defect played DEFECT | Always Cooperate played COOPERATE
Round 11 | Always Defect played DEFECT | Always Cooperate played COOPERATE
Round 12 | Always Defect played DEFECT | Always Cooperate played COOPERATE
